Loading dataset refvg train into memory...
number of refs: 721164
Loading dataset refvg val into memory...
number of refs: 36183
Epoch: [0][100/11269]	Loss 2.6776 (2.7220)	Prec 0.1578
Epoch: [0][200/11269]	Loss 2.3789 (2.5132)	Prec 0.2562
Epoch: [0][300/11269]	Loss 2.2541 (2.3943)	Prec 0.2767
Epoch: [0][400/11269]	Loss 1.8702 (2.3331)	Prec 0.2947
Epoch: [0][500/11269]	Loss 2.0960 (2.2700)	Prec 0.3056
Epoch: [0][600/11269]	Loss 1.9818 (2.2222)	Prec 0.3214
Epoch: [0][700/11269]	Loss 2.0179 (2.1896)	Prec 0.3109
Epoch: [0][800/11269]	Loss 2.0778 (2.1616)	Prec 0.3205
Epoch: [0][900/11269]	Loss 1.9684 (2.1352)	Prec 0.3208
Epoch: [0][1000/11269]	Loss 2.0998 (2.1146)	Prec 0.3239
Epoch: [0][1100/11269]	Loss 1.9685 (2.0996)	Prec 0.3211
Epoch: [0][1200/11269]	Loss 1.7820 (2.0832)	Prec 0.3383
Epoch: [0][1300/11269]	Loss 1.9409 (2.0692)	Prec 0.3266
Epoch: [0][1400/11269]	Loss 1.9755 (2.0559)	Prec 0.3320
Epoch: [0][1500/11269]	Loss 1.9134 (2.0446)	Prec 0.3438
Epoch: [0][1600/11269]	Loss 2.0011 (2.0325)	Prec 0.3459
Epoch: [0][1700/11269]	Loss 2.0758 (2.0228)	Prec 0.3352
Epoch: [0][1800/11269]	Loss 1.8665 (2.0125)	Prec 0.3398
Epoch: [0][1900/11269]	Loss 2.0303 (2.0041)	Prec 0.3416
Epoch: [0][2000/11269]	Loss 1.5712 (1.9966)	Prec 0.3430
Epoch: [0][2100/11269]	Loss 1.9006 (1.9891)	Prec 0.3448
Epoch: [0][2200/11269]	Loss 1.6129 (1.9808)	Prec 0.3522
Epoch: [0][2300/11269]	Loss 1.8444 (1.9739)	Prec 0.3436
Epoch: [0][2400/11269]	Loss 1.6413 (1.9680)	Prec 0.3483
Epoch: [0][2500/11269]	Loss 1.9224 (1.9624)	Prec 0.3448
Epoch: [0][2600/11269]	Loss 1.9568 (1.9570)	Prec 0.3494
Epoch: [0][2700/11269]	Loss 1.7490 (1.9515)	Prec 0.3547
Epoch: [0][2800/11269]	Loss 1.8329 (1.9462)	Prec 0.3659
Epoch: [0][2900/11269]	Loss 1.8180 (1.9418)	Prec 0.3469
